date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2010-03-22,15101251.2,50177,387.1534,89.052398,539.6222,9273.5153,26710.286,44.1098,1145.4995714285715,124.62338571428572,247.59091428571426,1670.428557142857,105.4,96.5,106.4,361.62,41760
2010-03-29,15784713.0,47048,313.9693,77.606045,548.4448,8143.7895,29690.906000000003,55.50152857142857,1277.5042857142857,380.80519999999996,263.4480571428571,1373.545442857143,105.4,96.5,106.4,361.62,43650
2010-04-05,15766632.0,45886,293.66790000000003,74.155067,553.2065,7752.2063,28313.476,49.992757142857144,1196.8667142857144,112.16884285714286,239.1233857142857,924.6883285714285,105.3,96.5,106.4,361.62,43600
2010-04-12,16241439.059999999,45190,302.3994,77.12131099999999,561.3423,8009.8614,21602.68,31.506571428571426,599.0814,252.34851428571432,583.0783,2068.259742857143,105.3,96.5,106.4,361.62,44913
2010-04-19,17128854.54,45527,292.3291,78.41318799999999,536.7943,8060.0945,17046.168,16.8138,124.64781428571428,144.01702857142857,319.0619142857143,1180.3701285714285,105.3,96.5,106.4,361.62,47367
2010-04-26,16374153.6,35368,451.6023,90.003324,674.7834,9408.4135,10412.355000000001,15.544957142857143,88.43212857142858,113.98672857142857,313.37852857142855,917.4025857142858,105.3,96.5,106.4,361.62,45280
2010-05-03,13459858.02,34165,543.0376,92.490447,724.6136,9691.887999999999,4469.618,14.969442857142857,103.68842857142856,106.64285714285714,299.4545428571428,809.2922,105.5,96.5,106.4,361.62,37221
2010-05-10,11783026.08,38332,488.6418,92.372107,702.7649,9776.0196,8848.190999999999,39.50107142857143,102.14657142857143,122.03895714285714,281.7857,924.4480571428572,105.5,96.5,106.4,361.62,32584
2010-05-17,13626203.22,43630,510.7555,93.205242,697.6719,9823.685300000001,27387.761,24.533528571428572,156.80642857142857,116.77271428571429,285.24674285714286,956.2337714285713,105.5,98.3,106.4,361.62,37681
2010-05-24,16190812.26,50511,529.6533,95.422372,726.2694,10090.9274,19865.954,43.87811428571429,126.73371428571429,101.1753142857143,243.62985714285716,906.9285714285714,105.5,98.3,106.4,361.62,44773
2010-05-31,11267355.96,52343,506.8961,93.392115,701.5551,9848.1963,21307.812,19.676142857142857,144.47042857142858,84.16882857142856,226.2207857142857,804.4870285714286,105.5,98.3,106.4,361.62,31158
2010-06-07,12774588.120000001,52506,480.315,94.630848,663.6461,10015.1217,22440.001,30.17674285714285,286.0521428571429,108.99352857142857,266.1883142857143,978.8960999999999,106.4,98.3,106.4,361.62,35326
2010-06-14,15462871.2,54856,408.789,92.602298,574.3715,9643.3192,17206.714,37.31151428571429,298.2802857142857,128.77272857142856,250.66234285714287,1766.3571285714283,106.4,98.3,103.5,361.62,42760
2010-06-21,13965764.4,45185,435.6306,92.593617,573.6193,9732.935,29101.048,24.376714285714286,530.3367142857143,110.81168571428573,252.12337142857146,1075.9155714285714,106.4,98.3,103.5,361.62,38620
2010-06-28,16489872.0,52987,419.6935,93.093644,538.037,9638.826000000001,28916.905,26.86832857142857,819.914,108.12337142857143,231.9999857142857,864.3895857142858,106.4,98.3,103.5,361.62,45600
